Ticker,Date,Open,High,Low,Close,Volume
APEXWEAV,20220623,44.50,44.50,44.50,44.50,113990
BDPAINTS,20220623,21.20,21.20,21.20,21.20,136
BENGALBISC,20220623,161.80,161.80,147.00,159.00,31973
KBSEED,20220623,29.40,29.40,26.30,28.50,891660
KFL,20220623,25.70,25.70,22.90,24.00,1796532
MAMUNAGRO,20220623,27.80,27.80,24.60,26.50,689400
MASTERAGRO,20220623,22.40,22.40,20.00,21.50,776219
MOSTFAMETL,20220623,28.00,28.00,25.20,26.70,829997
NIALCO,20220623,48.80,49.70,44.80,49.70,973288
ORYZAAGRO,20220623,23.50,23.50,21.40,23.10,714432
SADHESIVE,20220623,86.00,87.00,75.60,82.10,94267
WONDERTOYS,20220623,62.40,62.40,56.40,62.40,462107
